ARO Accession	ARO Name	CARD Short Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	Matched_CARD_Tokens	Matched_Better_Classes	UniProt	UniParc	PDB	PDB_Links
ARO:3005099	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	Spyo_ErmA_MLSb	AAB60941.1	AF002716.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	streptogramin antibiotic	Streptogramins	O07480			
ARO:3002523	AAC(2')-Ia	AAC(2')-Ia	AAA03550.1	L06156.2	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q52424		5US1;6VOU;6VR2;6VR3;6VTA;7JZS	https://www.rcsb.org/structure/5US1;https://www.rcsb.org/structure/6VOU;https://www.rcsb.org/structure/6VR2;https://www.rcsb.org/structure/6VR3;https://www.rcsb.org/structure/6VTA;https://www.rcsb.org/structure/7JZS
ARO:3002524	AAC(2')-Ib	AAC(2')-Ib	AAC44793.1	U41471.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q49157			
ARO:3002525	AAC(2')-Ic	AAC(2')-Ic	CCP42991.1	AL123456.3	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P9WQG9		1M44;1M4D;1M4G;1M4I	https://www.rcsb.org/structure/1M44;https://www.rcsb.org/structure/1M4D;https://www.rcsb.org/structure/1M4G;https://www.rcsb.org/structure/1M4I
ARO:3002526	AAC(2')-Id	AAC(2')-Id	AAB41701.1	U72743.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P94968		7CRM;7CS0;7CS1;7CSI;7CSJ	https://www.rcsb.org/structure/7CRM;https://www.rcsb.org/structure/7CS0;https://www.rcsb.org/structure/7CS1;https://www.rcsb.org/structure/7CSI;https://www.rcsb.org/structure/7CSJ
ARO:3002527	AAC(2')-Ie	AAC(2')-Ie	CAC32082.1	AL583926.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q9CD24			
ARO:3004628	AAC(2')-IIa	AAC(2')-IIa	BAM16262.1	AB669090.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	I4DEC2			
ARO:3003988	AAC(2')-IIb	AAC(2')-IIb	APB03221.1	KX531051.1	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A1I9ZKL2	UPI0008DD7D15		
ARO:3002528	AAC(3)-Ia	AAC(3)-Ia	AAG15269.1	U12338.3	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q9F3Y6			
ARO:3002530	AAC(3)-Ib	AAC(3)-Ib	AAA88422.1	L06157.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q51407		4YFJ	https://www.rcsb.org/structure/4YFJ
ARO:3002600	AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	AAC_3Ib_AAC_6Ib	AAL82588.1	AF355189.1	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q8RPU6			
ARO:3002531	AAC(3)-Ic	AAC(3)-Ic	CAD53575.1	AJ511268.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q83V16			
ARO:3002529	AAC(3)-Id	AAC(3)-Id	AAR21614.1	AY458224.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q6SIX1			
ARO:3002533	AAC(3)-IIa	AAC(3)-IIa	CAA31895.1	X13543.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P13246			
ARO:3002534	AAC(3)-IIb	AAC(3)-IIb	AAA26548.1	M97172.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q01515		7LAO	https://www.rcsb.org/structure/7LAO
ARO:3002535	AAC(3)-IIc	AAC(3)-IIc	CAA38525.1	X54723.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	Q03634			
ARO:3004623	AAC(3)-IId	AAC(3)-IId	ABS70977.1	EU022314.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A7LI78			
ARO:3004621	AAC(3)-IIe	AAC(3)-IIe	ABS70978.1	EU022315.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A7LI79			
ARO:3005085	AAC(3)-IIg	AAC(3)-IIg	QKT21444.1	MT090547.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	A0A031QGF0;A0A031RZZ8;A0A066EYC9;A0A0D7KYU9;A0A0E2MHX6;A0A0F0PKN5;A0A0F0QIM7;A0A0G3Q6W4;A0A0J4RZU6;A0A0K1D918;A0A0P8S774;A0A0R9NEB2;A0A0S1VX52;A0A0W2RYJ7;A0A0W2WK95;A0A0W2XJH6;A0A0X6JFP1;A0A154BCM0;A0A155BP16;A0A155IZ59;A0A156ACN0;A0A156ZVM2;A0A163KBJ1;A0A167STM2;A0A170AIN7;A0A193RWX9;A0A1Y6HV74;A0A1Z1VWU0;A0A222ZD06;A0A223JYL9;A0A2G4QQA1;A0A2P5GGU6;A0A2R3IJM7;A0A2R4DIY4;A0A2R4R941;A0A2S4S5B9;A0A2T8LMI4;A0A2T8QMG2;A0A2T8VRP8;A0A2T9HPV7;A0A2W0HBY7;A0A330KX80;A0A3L9NXU2;A0A3P5M5R5;A0A3Q8VMV1;A0A3S8XAR6;A0A443Y086;A0A4P9NLH9;A0A501AH53;A0A5C6QZQ6;A0A5D9QDW7;A0A5I8G6T8;A0A5I8IUA9;A0A5P6LVT5;A0A612D0I6;A0A6G8F4V9;A0A6G8F8X7;A0A742B7K0;A0A7R6HWQ4;A0A837EU85;A0A8B5SM15;A0A8I0AA48;A0A976BQB7;A0A9P3TRV2;A0A9X7KCV2;A0AA89Y4G8;A0AAC8QKG0;A0AAC9FPC2;A0AAD0MDZ1;A0AAE9AIR6;A0AAV3KJ72;A0AAW7EE53;A0AAX2XR60;A0AB34ZWH8;A0ABD7KQP1;A0ACA8DDF0;C1IUZ3;D1LUJ0;Q3MSG8;U7C0I7;U7CAZ6;X7IJU7;X7J6A3;X7KBL5;X7KVN9;X7L9F0;X7LPC8;X7M7L6;X7MJI7;X7N1D7;X7NFL5;X7QLU1;Y1P4P4	UPI00005B5812		
ARO:3002536	AAC(3)-IIIa	AAC(3)-IIIa	CAA39184.1	X55652.1	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	aminoglycoside antibiotic	Aminoglycosides	P29808		7MQK;7MQL;7MQM;7Q0Q;7Q10;7Q1D;7Q1X	https://www.rcsb.org/structure/7MQK;https://www.rcsb.org/structure/7MQL;https://www.rcsb.org/structure/7MQM;https://www.rcsb.org/structure/7Q0Q;https://www.rcsb.org/structure/7Q10;https://www.rcsb.org/structure/7Q1D;https://www.rcsb.org/structure/7Q1X
